 Rank  Case ID                          Dice_WT   Dice_TC   Dice_ET   Mean_Dice
  176  BraTS2021_01076                   0.8227    0.8549    0.7869      0.8215
  177  BraTS2021_01642                   0.8335    0.8863    0.7556      0.8251
  178  BraTS2021_01007                   0.8677    0.8677    0.7420      0.8258
  179  BraTS2021_00436                   0.8619    0.8921    0.7306      0.8282
  180  BraTS2021_00090                   0.8551    0.8787    0.7511      0.8283
  181  BraTS2021_01659                   0.7747    0.8979    0.8155      0.8294
  182  BraTS2021_01323                   0.8249    0.8952    0.7768      0.8323
  183  BraTS2021_00804                   0.8596    0.9059    0.7362      0.8339
  184  BraTS2021_00178                   0.8316    0.8974    0.7880      0.8390
  185  BraTS2021_01561                   0.7891    0.9111    0.8209      0.8404
  186  BraTS2021_01374                   0.8576    0.9189    0.7721      0.8495
  187  BraTS2021_01092                   0.8485    0.9277    0.7891      0.8551
